M_r   logMbary(logMsun) Re(kpc)
all units have assumed Ho=70 km/s
-19.451 9.835 1.568
-18.867 9.565 1.828
-19.444 9.835 4.858
-18.641 9.534 3.580
-21.609 10.745 4.454
-19.481 9.775 3.847
-18.973 9.725 1.293
-18.144 9.245 1.504
-20.619 10.455 2.256
-18.474 9.395 2.056
-18.070 9.515 2.066
-19.460 9.955 1.664
-18.854 9.835 3.234
-19.294 9.755 2.000
-19.860 10.065 2.587
-20.394 10.303 4.577
-19.380 9.725 2.700
-19.743 9.885 3.349
-18.409 9.388 3.153
-19.849 10.005 1.738
-18.373 9.318 2.909
-19.694 10.307 5.425
-20.405 10.235 1.863
-19.559 10.071 5.316
-19.250 9.715 4.860
-19.291 9.785 1.349
-21.776 10.775 3.522
-19.141 9.635 2.647
-19.473 9.862 2.409
-19.242 9.895 2.993
-19.039 9.485 1.549
-19.483 9.964 2.825
-18.979 9.396 1.936
-19.883 10.115 1.542
-20.155 10.335 1.035
-19.568 9.915 1.621
-19.826 10.115 1.989
-19.076 9.611 1.616
-19.317 9.885 2.530
-20.023 10.145 2.240
-19.711 10.065 1.633
-19.739 10.075 1.489
-19.453 9.915 1.586
-20.087 10.205 3.279
-20.209 9.815 6.899
-19.445 9.925 1.926
-19.839 10.075 1.569
-20.052 9.915 1.362
-21.624 10.885 4.914
-19.542 9.865 2.305
-19.310 9.855 1.998
-20.084 10.216 1.521
-19.534 10.005 1.265
-20.421 10.215 1.592
-19.424 9.845 3.953
-19.578 9.985 2.942
-20.582 10.195 5.100
-18.929 9.495 6.800
-19.799 9.665 1.329
-21.575 10.644 5.094
-18.730 9.335 4.523
-18.809 9.635 3.347
-18.506 9.435 2.507
-20.389 10.315 2.283
-18.884 9.615 2.418
-19.838 9.995 2.427
-17.929 9.565 2.218
-18.395 9.485 3.985
-17.622 9.275 1.806
-18.305 9.225 2.826
-20.739 10.391 7.700
-19.005 9.775 2.094
-17.914 9.218 2.388
-17.962 9.177 1.536
-17.936 9.225 2.371
-17.941 9.475 4.611
-18.925 9.625 4.992
-19.705 9.945 2.735
-18.492 9.385 5.412
-19.055 9.635 1.751
-18.798 9.736 2.932
-21.102 10.505 3.100
-20.190 10.125 3.309
-19.727 9.915 3.092
-18.997 9.685 3.218
-19.024 9.725 1.734
-18.128 9.155 1.832
-18.360 9.245 3.893
-19.091 9.715 2.930
-18.904 9.575 2.931
-19.014 9.505 6.228
-19.419 9.775 3.399
-19.468 9.775 3.421
-21.293 10.616 4.747
-20.022 10.025 4.328
-17.892 9.345 3.377
-17.808 9.285 1.771
-17.912 9.205 2.905
-18.990 9.825 6.505
-19.669 10.005 3.503
-18.665 9.435 2.609
-19.008 9.765 1.308
-17.941 9.345 1.731
-17.791 9.225 3.127
-22.044 11.095 4.946
-19.558 9.825 3.210
-18.327 9.445 4.057
-19.588 9.865 3.790
-18.684 9.845 3.139
-19.557 9.785 2.755
-18.354 9.555 1.961
-20.836 10.045 11.978
-20.470 10.385 3.506
-20.177 10.255 1.959
-18.842 9.675 2.049
-19.476 9.643 2.502
-19.167 9.705 3.341
-19.695 10.045 2.555
-18.708 9.545 4.291
-17.866 9.035 2.752
-18.311 9.325 4.660
-18.473 9.545 1.710
-19.781 10.015 3.236
-19.923 10.115 2.309
-19.751 9.875 3.576
-17.892 9.135 3.336
-21.425 10.695 4.305
-18.816 9.435 2.232
-19.051 9.585 3.936
-19.864 10.175 1.994
-20.117 10.265 3.959
-18.908 10.085 2.889
-18.722 9.455 2.111
-18.608 9.415 2.834
-20.295 10.395 1.967
-18.416 9.385 3.085
-18.926 9.585 5.752
-20.687 10.455 3.603
-19.141 9.675 2.477
-19.988 10.165 1.480
-18.755 9.495 3.560
-18.439 9.445 5.192
-17.655 9.075 2.624
-19.599 10.015 1.547
-19.053 9.610 2.203
-19.870 10.135 2.343
-18.828 9.475 3.591
-18.629 9.635 3.186
-20.094 10.295 4.611
-22.267 11.118 11.944
-18.412 9.205 1.451
-18.720 9.535 2.386
-21.646 9.285 11.171
-18.330 9.655 3.675
-19.189 9.755 2.590
-17.828 9.135 3.364
-19.006 9.715 4.458
-18.345 9.205 3.896
-21.397 10.795 6.114
-17.976 9.235 2.445
-19.312 9.845 2.466
-18.329 9.535 4.276
-17.631 9.085 2.318
-18.256 9.375 3.810
-19.326 9.785 6.709
-18.215 9.375 3.768
-18.484 9.505 1.189
-17.558 9.155 1.510
-18.231 9.415 4.453
-20.149 10.015 4.597
-18.945 9.505 7.294
-18.006 9.385 3.848
-17.808 9.095 1.922
-19.881 9.945 9.001
-18.306 9.275 1.966
-18.302 9.595 2.872
-18.368 9.335 2.458
-19.156 9.815 2.186
-18.344 9.265 3.250
-17.854 9.145 1.242
-19.414 9.865 2.013
-17.642 9.175 1.698
-17.566 9.045 2.019
-17.498 9.165 1.190
-19.017 9.375 5.912
-18.910 9.485 2.950
-17.715 9.185 1.306
-19.348 9.745 4.771
-18.682 9.455 3.841
-18.070 9.215 3.718
-20.971 10.665 3.631
-20.709 10.345 5.790
-20.843 10.315 4.510
-18.377 9.545 3.760
-17.820 9.195 3.326
-18.284 9.235 2.095
-17.382 9.025 1.829
-18.436 9.385 1.831
-17.737 9.055 1.554
-18.100 9.495 4.269
-17.600 9.135 2.933
-22.758 11.305 11.723
-18.030 9.085 1.438
-17.628 9.165 3.990
-19.038 9.765 4.677
-17.903 9.405 2.798
-18.181 9.385 3.753
-17.470 8.945 0.927
-18.512 9.235 3.048
-18.454 9.475 5.410
-18.800 9.495 1.958
-18.885 9.795 2.019
-21.739 10.975 3.802
-19.664 9.925 2.388
-18.912 9.665 2.538
-19.460 9.845 5.625
-18.485 9.385 3.171
-17.870 9.255 2.941
-18.241 9.473 4.074
-17.825 9.057 1.683
-17.700 9.466 2.315
-18.276 9.055 3.465
-17.450 9.381 2.214
-20.823 10.595 2.086
-18.886 9.710 3.116
-17.606 9.556 3.421
-18.663 9.626 3.641
-18.049 9.253 2.977
-17.710 9.022 1.595
-18.723 9.365 2.989
-18.651 9.465 1.916
-18.601 9.425 1.363
-18.506 9.267 1.057
-17.819 9.496 2.866
-20.748 10.405 1.877
-18.970 9.920 3.926
-18.189 9.482 4.667
-18.071 9.295 1.848
-18.661 9.574 3.298
-18.042 9.491 2.760
-17.668 9.285 2.072
-18.050 9.205 3.137
-17.693 9.045 2.363
-19.557 9.875 1.906
-18.904 9.654 2.298
-21.350 10.545 3.967
-17.592 9.277 2.094
-18.184 9.478 1.854
-18.477 9.319 5.303
-18.294 9.305 1.924
-18.221 9.435 4.978
-18.040 9.375 2.012
-17.940 9.225 2.014
-17.578 9.326 1.681
-18.487 9.398 1.169
-17.677 9.681 2.883
-21.205 10.735 4.043
-17.538 9.262 2.146
-18.657 9.515 2.592
-18.505 9.110 1.345
-17.887 9.125 3.832
-18.324 9.385 3.513
-20.776 10.535 2.513
-18.573 9.769 4.272
-18.569 9.545 1.309
-17.439 8.975 1.265
-19.101 9.896 1.696
-20.508 10.252 2.921
-18.026 8.965 2.320
-17.543 9.405 1.339
-18.953 9.760 4.196
-18.275 9.305 1.133
-18.534 9.427 3.879
-18.965 9.830 2.328
-18.096 9.465 4.657
-18.260 9.641 3.418
-18.215 9.478 3.652
-17.871 9.065 1.942
-20.249 10.376 6.504
-17.629 9.065 2.057
-19.408 9.922 1.754
-18.216 9.335 2.824
-18.323 9.298 2.444
-18.451 9.485 1.604
-20.152 10.222 2.193
-19.455 9.897 2.235
-19.304 9.815 2.463
-17.570 9.424 3.937
-18.389 8.980 3.786
-21.045 10.578 5.871
-17.927 9.238 1.739
-17.790 9.435 0.517
-18.071 9.385 3.180
-18.477 9.188 1.373
-18.020 9.207 2.926
-17.866 9.598 3.907
-17.783 9.255 2.773
-17.851 9.179 2.682
-18.978 9.607 2.397
-17.544 9.411 1.894
-20.279 10.045 2.841
-20.911 10.315 6.335
-18.622 9.458 4.608
-18.363 9.494 5.048
-19.044 9.374 3.661
-19.124 9.865 3.579
-17.809 9.029 2.074
-17.948 9.315 1.717
-18.518 9.713 2.594
-17.492 9.341 2.998
-18.588 9.575 1.482
-19.773 9.915 3.150
-17.872 8.912 1.592
-18.689 9.765 3.117
-17.983 9.056 1.684
-18.990 9.565 5.723
-17.512 9.131 1.715
-19.545 10.038 3.019
-17.830 8.965 1.420
-18.282 9.465 1.523
-19.040 9.315 2.740
-18.248 9.395 3.942
-18.661 9.625 2.329
-18.110 9.265 1.575
-19.300 9.681 3.916
-17.812 9.155 2.579
-17.675 8.923 0.992
-17.933 9.056 0.915
-17.651 9.384 1.342
-17.596 8.989 2.443
-17.852 9.131 1.924
-18.050 9.269 4.613
-19.244 9.634 3.078
-20.439 10.442 2.010
-19.013 9.748 2.138
-17.549 8.855 1.362
-18.002 9.361 2.851
-18.833 9.724 3.393
-17.918 8.981 3.144
-17.483 9.444 1.559
-18.573 9.660 2.137
-19.142 9.740 2.740
-17.622 9.428 1.774
-18.183 9.479 2.835
-20.335 10.285 3.861
-18.393 9.800 2.313
-18.406 9.950 2.375
-17.974 9.264 3.297
-17.650 9.174 1.381
-19.460 9.968 2.347
-17.614 9.260 2.083
-19.052 9.530 3.449
-17.745 9.025 1.705
-18.544 9.340 3.123
-20.926 10.645 4.698
-18.623 9.453 3.622
-18.446 9.831 1.383
-20.056 10.055 2.219
-18.311 9.585 4.238
-18.127 9.617 4.240
-18.323 9.140 1.246
-18.233 9.035 2.579
-19.363 9.876 1.487
-17.611 9.135 1.662
-18.508 9.608 1.344
-17.669 9.406 3.133
-18.984 9.677 3.227
-17.906 9.168 2.793
-18.220 8.985 5.798
-17.620 9.646 1.883
-17.881 8.955 2.239
-18.839 9.728 2.761
-18.825 9.435 1.605
-17.722 9.095 2.314
-17.881 8.919 3.217
-20.290 10.183 5.327
-17.934 9.205 1.057
-18.155 9.724 2.039
-18.366 9.395 1.816
-17.924 9.633 2.416
-17.357 9.075 2.855
-17.587 9.264 2.602
-17.876 9.195 1.855
-17.977 9.406 2.155
-18.599 9.651 1.946
-21.032 10.480 3.195
-17.926 9.151 1.273
-17.564 9.079 2.677
-19.345 9.705 2.809
-17.553 8.935 2.494
-19.705 9.955 2.456
-18.713 9.729 1.518
-17.625 9.335 1.507
-17.779 9.153 2.041
-17.864 9.345 1.331
-17.939 9.145 1.716
-18.723 9.575 1.012
-18.022 9.284 1.079
-17.777 9.287 3.333
-17.651 9.125 0.712
-19.038 9.551 2.686
-17.530 9.165 1.669
-18.253 9.125 4.784
-18.460 9.056 2.042
-18.907 9.480 2.272
-18.776 9.475 2.883
-18.273 9.353 2.740
-19.235 9.805 2.557
-21.423 10.818 4.029
-18.782 9.690 1.722
-17.715 8.994 2.467
-18.114 9.357 1.626
-18.456 9.599 3.054
-18.064 9.461 3.526
-18.480 9.607 2.939
-18.063 9.509 1.471
-17.825 9.205 0.928
-18.850 9.555 1.878
-18.469 9.411 2.747
-21.950 10.838 6.556
-18.657 9.315 1.328
-17.968 9.506 1.472
-17.502 9.230 2.546
-17.977 9.302 1.984
-18.023 9.195 2.340
-17.781 9.062 1.744
-18.322 9.432 2.210
-18.607 9.410 1.901
-18.213 9.093 4.000
-21.245 10.675 5.307
-19.712 9.967 2.343
-19.169 9.653 4.035
-19.622 9.955 4.365
-17.905 9.490 1.400
-18.410 9.420 2.766
-17.727 9.095 2.419
-19.680 9.902 9.280
-18.019 9.015 1.995
-18.616 9.591 2.151
-18.004 9.524 4.098
-20.418 10.155 6.456
-18.165 9.047 3.453
-17.958 9.116 1.510
-18.462 9.655 2.991
-19.110 9.589 2.503
-19.564 9.994 2.233
-17.737 9.189 1.947
-19.886 10.110 1.908
-17.851 9.251 1.068
-18.758 9.525 3.687
-18.396 9.584 4.496
-19.435 9.895 2.495
-20.667 10.515 2.528
-18.156 9.322 2.490
-19.134 9.776 4.208
-18.119 9.275 2.272
-18.173 9.715 5.417
-18.980 9.881 3.244
-18.218 9.492 1.847
-17.783 9.220 2.970
-18.554 9.265 2.607
-19.892 10.005 4.744
-18.221 9.407 0.983
-18.741 9.838 2.063
-19.666 10.005 1.381
-17.761 9.473 1.791
-17.725 8.963 2.130
-18.705 9.742 6.386
-19.093 9.575 1.675
-17.755 9.551 2.470
-19.704 9.840 2.472
-19.855 9.912 2.391
-21.170 10.765 3.286
-18.202 9.298 1.362
-19.965 10.127 1.773
-18.816 9.703 4.948
-18.514 9.313 2.070
-18.008 8.995 2.790
-18.157 9.263 2.653
-19.168 9.776 3.997
-18.272 9.235 2.746
-18.415 9.225 3.003
-18.282 9.461 3.119
-21.149 10.705 4.606
-18.964 9.463 1.926
-18.828 9.581 1.334
-18.303 9.483 2.299
-18.428 9.603 3.121
-19.153 10.108 2.863
-17.782 8.775 2.438
-18.835 9.548 3.161
-19.035 9.756 2.628
-18.418 9.543 2.383
-19.231 9.770 4.512
-20.650 10.215 4.409
-19.077 9.724 2.782
-18.892 9.405 3.594
-18.112 9.763 2.937
-19.546 9.585 2.301
-19.327 9.965 4.701
-17.865 9.045 1.591
-18.796 9.696 2.350
-18.364 9.296 1.975
-18.254 9.784 2.571
-17.862 9.189 1.673
-20.891 10.335 1.861
-19.077 9.744 1.485
-19.506 9.985 3.837
-19.223 9.617 3.229
-18.238 9.420 1.344
-18.778 9.604 4.162
-18.637 9.535 4.354
-18.062 9.324 3.160
-18.226 9.450 3.393
-19.502 9.626 3.116
-18.941 9.503 2.089
-18.268 9.265 1.745
-19.519 9.458 2.311
-18.458 9.301 2.764
-20.262 10.308 2.274
-18.936 9.615 3.762
-19.443 9.798 2.488
-18.013 9.239 1.488
-18.168 9.310 2.294
-17.843 9.431 2.520
-18.235 9.185 2.343
-18.027 9.614 2.156
-18.601 9.455 3.287
-21.132 10.395 5.528
-19.563 9.785 3.038
-19.644 10.037 3.047
-19.390 9.855 5.730
-18.580 9.480 3.151
-17.845 8.983 1.769
-19.415 10.316 4.205
-19.509 10.016 4.893
-18.369 9.446 2.455
-18.433 9.362 2.760
-18.530 9.727 5.116
-19.469 9.865 4.595
-18.228 9.135 2.262
-18.485 9.305 1.688
-18.288 9.291 1.678
-18.436 9.385 1.850
-18.319 9.425 0.993
-19.002 9.628 3.294
-18.970 9.763 5.376
-17.944 9.659 2.738
-17.774 9.087 2.370
-19.515 10.107 2.010
-20.317 10.065 3.941
-19.021 9.833 2.037
-18.194 8.995 2.098
-19.163 9.855 4.583
-18.206 9.205 2.901
-19.382 9.835 1.903
-20.695 10.545 2.178
-18.443 9.770 3.271
-19.528 10.235 3.444
-18.483 9.373 3.185
-18.232 9.526 2.433
-20.981 10.555 5.495
-18.206 9.481 2.239
-19.109 9.583 2.380
-17.706 8.985 1.719
-17.768 8.945 1.532
-18.232 9.159 1.608
-19.574 9.899 4.644
-18.851 9.458 1.116
-19.371 9.955 1.427
-18.744 9.675 2.825
-18.145 9.215 1.394
-21.985 11.005 9.749
-18.076 9.089 2.493
-19.188 9.823 1.788
-18.682 9.621 4.427
-19.570 9.954 3.304
-18.193 9.224 3.530
-19.180 9.517 3.195
-18.049 9.165 2.770
-18.204 9.477 2.753
-18.299 9.492 1.613
-18.770 9.575 1.880
-19.787 9.865 2.072
-18.943 9.765 1.826
-19.617 10.048 1.988
-18.782 9.588 4.406
-18.275 9.674 2.686
-17.948 9.655 2.968
-19.017 9.649 1.677
-17.665 9.467 2.305
-17.553 9.435 1.829
-18.073 9.106 1.245
-19.000 9.567 2.360
-21.802 10.885 8.264
-19.976 10.146 3.496
-18.553 9.605 5.290
-18.052 9.544 2.793
-19.684 9.902 4.207
-17.908 9.560 3.442
-19.374 9.999 2.675
-18.305 9.563 1.149
-18.205 9.538 3.343
-18.207 9.284 1.922
-19.295 9.875 2.368
-20.990 10.435 6.461
-19.384 9.548 2.561
-19.357 9.694 5.452
-17.637 9.476 3.377
-18.695 9.566 1.185
-17.992 9.601 3.530
-19.211 9.958 5.975
-18.434 9.637 2.529
-18.680 9.728 4.201
-18.382 9.335 1.269
-18.136 9.813 3.466
-20.760 10.295 8.070
-19.261 9.858 4.898
-19.084 9.804 3.364
-20.048 9.941 1.512
-18.670 9.413 2.426
-17.887 9.633 2.304
-17.741 8.785 1.947
-18.261 9.135 1.835
-17.985 9.344 4.150
-17.738 9.284 2.048
-19.275 9.945 3.680
-20.901 10.285 2.977
-21.862 11.025 8.919
-17.716 9.139 2.948
-18.385 9.398 1.787
-17.817 9.168 1.296
-19.036 9.579 2.747
-18.264 9.301 1.141
-17.910 8.920 1.648
-20.075 10.239 1.590
-17.670 9.426 3.077
-19.549 9.895 1.478
-18.241 9.805 2.493
-19.710 9.861 3.135
-18.924 9.585 3.375
-18.637 9.335 3.351
-19.431 9.891 1.654
-20.278 10.243 2.645
-18.038 9.265 1.146
-19.273 9.927 1.447
-19.565 10.005 2.002
-18.818 9.415 2.301
-18.059 9.415 2.058
-18.442 9.515 2.046
-20.939 10.415 3.311
-18.442 9.520 2.748
-18.783 9.524 3.127
-17.988 9.551 3.082
-18.531 9.095 2.513
-18.837 9.448 1.676
-18.123 9.634 2.738
-17.955 9.312 2.651
-17.714 9.034 1.253
-19.090 9.766 6.493
-18.948 9.498 3.617
-19.652 10.015 2.458
-20.160 10.185 3.707
-18.299 9.245 2.656
-17.882 9.175 3.077
-20.071 10.125 4.040
-17.758 8.975 1.819
-18.192 9.664 3.897
-19.279 9.825 3.151
-19.277 9.920 3.711
-20.091 9.927 2.823
-18.684 9.787 4.699
-21.548 10.575 6.118
-18.315 9.165 2.582
-19.261 9.835 2.356
-17.664 8.925 2.080
-18.979 9.885 3.418
-19.078 9.535 2.355
-19.275 9.762 3.338
-19.640 9.806 3.888
-18.651 9.496 2.640
-17.720 9.065 2.340
-18.074 9.085 1.598
-21.377 10.638 2.884
-20.540 10.322 2.611
-19.203 9.745 1.597
-18.865 9.425 2.890
-18.306 9.595 2.643
-19.519 9.852 12.103
-18.490 9.530 2.471
-19.315 9.901 3.844
-18.828 9.661 4.081
-17.840 9.335 3.069
-17.952 9.195 1.940
-20.446 10.141 5.930
-19.471 9.825 2.992
-18.459 9.575 5.090
-18.621 9.481 4.061
-19.249 9.735 2.874
-19.029 9.445 2.134
-18.388 9.345 2.890
-17.981 9.276 1.780
-19.051 9.635 5.131
-18.599 9.729 1.254
-20.147 10.467 6.595
-21.175 10.645 3.865
-18.274 9.245 1.660
-18.634 9.305 1.770
-18.711 9.700 4.791
-19.412 9.535 2.609
-17.558 9.490 2.396
-18.241 9.285 3.067
-18.881 9.355 1.481
-19.237 9.751 2.069
-19.276 9.695 2.180
-19.881 9.565 14.001
-20.019 10.095 2.076
-19.260 9.539 2.484
-18.971 9.974 4.402
-18.293 9.456 3.136
-18.181 9.413 1.769
-17.835 9.260 1.504
-18.833 9.920 4.155
-18.554 9.435 3.367
-18.589 9.539 3.512
-17.806 9.035 1.898
-18.052 9.492 2.870
-19.163 9.480 2.078
-17.948 9.104 1.188
-18.907 9.581 2.122
-18.826 9.735 4.263
-18.688 9.701 4.801
-18.226 9.085 2.213
-17.939 9.347 1.893
-19.665 9.995 4.391
-19.632 9.865 2.015
-19.815 10.209 1.400
-18.766 9.555 4.835
-20.108 10.085 2.175
-19.303 9.674 2.586
-19.125 9.565 2.900
-18.700 9.415 2.411
-18.449 9.219 4.734
-19.966 10.155 2.169
-17.918 9.350 2.689
-19.217 9.835 2.590
-18.614 9.484 2.395
-18.347 9.195 2.769
-17.955 9.185 2.540
-20.235 10.075 4.636
-18.199 9.405 2.115
-18.587 9.505 2.364
-18.300 9.225 3.557
-17.809 8.965 1.697
-18.856 9.395 0.904
-18.953 9.435 3.671
-18.638 9.342 2.743
-20.465 10.275 3.574
-18.352 9.656 4.192
-17.934 9.115 1.893
-20.916 10.395 8.388
-18.435 9.285 1.551
-17.799 9.116 2.044
-19.079 9.645 2.002
-17.728 9.095 3.122
-18.246 9.808 3.323
-18.187 9.290 1.837
-17.830 9.452 2.209
-18.895 9.642 4.999
-19.114 9.605 1.778
-17.927 9.205 2.613
-21.084 10.765 6.249
-18.436 9.315 3.579
-17.751 9.298 2.040
-18.168 9.175 2.518
-17.951 9.186 1.180
-18.436 9.758 2.950
-19.656 9.635 3.642
-19.219 9.745 3.391
-19.846 9.985 3.840
-19.069 9.617 2.729
-20.848 10.401 2.263
-21.155 10.692 9.099
-17.753 9.085 1.960
-18.377 9.443 1.563
-18.567 9.620 2.696
-17.883 9.075 1.853
-19.482 9.645 2.357
-18.574 9.441 1.456
-18.196 9.075 1.972
-18.947 9.495 5.494
-18.595 9.425 2.513
-18.662 9.415 2.514
-21.301 10.355 8.571
-19.228 9.784 8.268
-19.290 9.916 6.458
-17.785 9.293 1.679
-17.723 9.598 3.356
-18.245 9.375 2.431
-17.973 9.296 1.180
-19.028 9.565 3.630
-19.056 9.505 1.905
-20.054 10.035 2.157
-17.506 9.123 1.004
-21.003 10.660 2.935
-18.994 9.485 2.151
-18.739 9.911 3.628
-18.689 9.519 3.598
-17.933 9.019 1.821
-18.799 9.285 6.240
-19.312 9.795 1.783
-18.624 9.475 2.189
-20.095 10.215 1.792
-18.847 9.589 3.012
-18.913 9.821 4.679
-20.445 10.325 3.251
-19.734 10.055 1.787
-18.463 9.436 1.825
-18.509 9.505 3.518
-18.170 9.295 3.053
-17.959 9.185 1.502
-18.711 9.408 2.640
-18.092 9.375 2.163
-17.726 9.473 1.750
-18.765 9.455 5.882
-17.817 9.075 3.369
-20.177 10.111 5.053
-18.253 9.524 2.745
-18.971 9.565 1.792
-19.241 9.565 1.810
-19.518 10.093 2.703
-19.187 9.615 1.540
-19.153 9.395 1.793
-18.677 9.789 3.427
-17.990 9.075 1.651
-19.825 10.005 2.667
-17.824 9.488 2.486
-21.552 10.615 4.966
-19.049 9.925 4.124
-18.941 9.695 1.550
-18.798 8.925 6.548
-18.271 9.436 2.263
-18.214 9.255 2.880
-18.644 9.305 1.824
-18.986 9.745 2.168
-18.467 9.485 3.376
-18.477 9.235 5.117
-19.367 9.725 3.826
-19.533 9.935 5.995
-20.915 10.555 5.234
-18.888 9.539 3.055
-17.893 9.045 0.952
-18.747 9.285 2.377
-18.637 9.906 3.420
-19.246 9.681 1.650
-17.846 9.148 3.535
-17.936 9.448 2.872
-18.135 9.155 2.543
-18.942 9.405 4.519
-19.627 9.965 4.701
-21.920 10.845 9.095
-19.305 9.866 6.338
-18.911 9.837 6.119
-18.691 9.530 2.888
-18.015 9.105 2.383
-18.666 9.759 3.639
-18.233 9.225 3.006
-18.355 9.255 1.968
-18.361 9.205 1.485
-18.854 9.379 3.048
-17.701 9.225 2.080
-20.732 10.565 2.886
-19.464 9.993 4.926
-18.329 9.472 2.360
-18.909 9.345 1.563
-17.711 8.805 2.242
-19.489 9.915 2.481
-17.948 9.045 2.635
-18.685 9.435 3.606
-18.846 10.038 4.284
-18.579 9.415 1.798
-18.789 9.444 2.139
-23.753 11.795 20.437
-17.978 9.175 1.636
-18.880 9.375 2.172
-18.410 9.275 2.534
-18.216 9.190 2.048
-18.762 9.315 1.618
-18.330 9.455 2.152
-19.852 10.095 3.873
-18.791 9.665 2.134
-18.786 9.535 2.037
-17.631 9.015 1.619
-22.897 11.075 30.184
-19.438 9.835 3.192
-19.679 9.775 4.102
-19.285 9.665 3.802
-18.041 9.265 1.941
-18.549 9.302 3.153
-20.176 10.165 3.348
-19.302 9.905 2.301
-18.389 9.445 2.370
-17.620 8.825 2.086
-19.169 9.716 4.815
-21.454 10.925 8.466
-17.666 9.166 2.314
-19.081 9.630 2.440
-18.476 9.413 2.508
-19.038 9.524 3.604
-18.518 9.415 1.598
-18.613 9.382 3.042
-18.068 9.135 1.671
-19.991 10.165 1.740
-19.622 10.025 2.307
-18.910 9.402 2.294
-18.683 9.795 5.197
-18.853 9.435 3.265
-18.477 9.468 2.816
-18.610 9.505 2.397
-17.929 9.015 1.796
-18.090 9.195 1.284
-18.910 9.615 2.590
-19.050 9.355 3.345
-18.331 9.265 3.740
-19.066 9.639 3.797
-19.093 9.755 3.815
-21.433 10.805 6.099
-17.640 8.825 1.162
-17.930 9.453 2.485
-19.309 9.745 1.766
-18.507 9.255 2.077
-18.594 9.285 2.387
-19.876 9.994 5.712
-18.069 9.579 2.100
-20.080 10.135 3.952
-18.037 9.441 3.083
-19.031 9.745 2.463
-18.973 9.645 2.291
-19.302 9.785 2.348
-18.647 9.555 2.919
-18.470 9.255 2.904
-18.035 9.165 2.720
-18.897 9.747 1.059
-17.880 9.015 1.472
-18.497 9.275 2.661
-17.769 9.317 2.516
-19.038 9.548 2.839
-18.977 9.719 3.938
-22.909 11.305 27.453
-19.197 9.595 1.821
-19.098 9.733 3.779
-17.820 9.391 1.504
-17.777 9.265 2.518
-17.997 9.537 2.779
-17.858 9.135 2.047
-19.063 9.412 2.766
-17.846 9.344 1.523
-17.878 9.055 1.085
-18.603 9.305 2.971
-19.946 10.165 1.521
-20.421 10.230 6.932
-19.313 9.745 2.693
-18.823 9.625 2.667
-18.781 9.525 1.917
-18.329 9.510 2.277
-18.576 9.315 4.081
-18.627 9.395 2.145
-19.007 10.125 2.967
-17.976 9.635 1.443
-18.956 9.625 4.263
-18.064 9.125 2.493
-21.159 10.655 4.495
-17.802 9.099 1.469
-18.013 9.105 2.348
-18.679 9.625 3.866
-17.805 9.095 2.519
-18.940 9.845 3.342
-18.099 9.215 1.811
-17.888 9.127 0.979
-17.902 9.385 1.646
-19.334 9.865 2.640
-18.636 9.585 2.947
-18.545 9.511 2.280
-20.542 10.408 4.452
-17.805 9.423 3.357
-19.075 9.609 2.567
-18.849 9.625 1.373
-18.955 9.675 1.509
-19.723 9.935 3.688
-19.314 9.605 1.562
-17.851 9.015 1.784
-18.684 9.614 4.330
-18.968 9.808 2.832
-21.370 10.785 3.292
-18.347 9.582 2.274
-18.472 9.443 1.861
-18.358 9.325 2.659
-19.226 9.645 3.000
-18.003 9.185 1.134
-19.577 9.625 2.657
-17.677 9.541 2.928
-19.423 9.935 3.035
-19.385 9.819 3.146
-17.977 9.015 2.532
-20.235 10.225 7.376
-17.463 9.054 0.765
-19.259 9.505 3.454
-17.959 9.255 2.867
-18.103 9.225 1.526
-19.203 9.744 3.694
-19.448 9.965 1.265
-17.905 9.059 2.009
-19.338 9.820 4.641
-17.753 9.165 1.394
-20.193 10.105 5.323
-19.661 10.045 3.662
-19.069 9.653 3.579
-19.176 9.755 2.765
-18.215 9.145 1.805
-18.965 9.715 2.691
-18.680 9.693 4.285
-18.684 9.856 5.014
-18.317 9.475 1.849
-18.820 9.665 2.494
-17.922 9.125 1.731
-19.602 9.605 4.708
-18.616 9.659 3.291
-18.158 9.215 2.391
-18.331 9.145 2.443
-18.913 9.505 2.793
-17.747 9.065 1.571
-18.662 9.437 2.398
-19.878 10.005 3.417
-19.219 9.765 2.817
-18.724 9.385 2.327
-18.596 9.225 1.301
-17.628 9.125 0.855
-20.276 10.375 4.510
-18.826 9.425 1.265
-19.133 9.749 3.886
-20.556 10.105 5.180
-17.811 9.135 2.899
-18.008 9.689 3.899
-18.569 9.455 1.532
-18.644 9.525 1.393
-18.322 9.275 1.683
-17.734 9.065 2.120
-19.094 9.675 3.610
-20.256 10.045 2.554
-18.776 9.525 2.843
-19.828 10.035 1.604
-18.203 9.530 2.976
-19.141 9.575 3.316
-18.286 9.305 2.531
-17.928 9.025 1.785
-18.487 9.673 3.311
-18.146 9.205 2.261
-18.370 9.285 3.667
-18.744 9.645 1.187
-20.938 10.605 4.754
-19.370 9.853 5.577
-18.435 9.710 2.527
-18.127 9.245 1.767
-18.354 9.487 4.421
-19.663 9.595 3.870
-18.331 9.402 2.906
-17.822 9.045 2.018
-18.119 9.523 2.295
-19.981 10.126 3.940
-17.971 9.055 2.614
-18.803 9.616 3.316
-19.323 10.076 6.309
-18.939 9.465 2.045
-19.067 9.682 3.864
