M_r   logMbary(logMsun) Re(kpc)
all units have assumed Ho=70 km/s
-17.524 8.887 2.816
-17.500 8.915 2.085
-17.648 9.035 1.286
-17.407 8.915 0.797
-17.642 9.455 1.104
-17.578 8.925 2.400
-18.104 9.235 2.797
-17.349 8.865 1.164
-17.418 9.491 1.597
-17.609 8.965 1.240
-17.923 9.085 5.250
-17.431 9.035 1.251
-17.549 9.075 0.986
-17.457 9.225 0.758
-22.020 10.115 10.294
-17.592 9.135 1.682
-17.456 9.025 1.840
-17.373 9.025 1.540
-17.370 9.085 1.073
-17.385 8.955 1.658
-17.483 8.845 1.830
-17.504 8.815 1.130
-17.689 9.385 3.003
-17.474 9.485 2.042
-17.727 9.035 1.155
-17.443 8.895 0.744
-19.113 9.825 4.340
-17.688 9.005 2.798
-17.423 9.005 2.164
-17.809 9.235 4.514
-17.612 9.115 2.018
-17.634 9.255 3.933
-17.432 9.045 0.868
-17.802 9.095 4.406
-17.554 8.985 3.903
-17.425 8.825 1.937
-17.362 9.439 1.626
-17.659 9.085 2.110
-17.469 9.152 1.658
-17.389 9.405 2.506
-17.457 9.125 1.417
-17.365 8.855 2.684
-17.402 9.358 0.829
-17.471 9.145 1.030
-17.545 9.055 1.587
-17.508 9.115 1.081
-17.379 9.095 2.283
-17.403 8.871 1.259
-17.885 9.375 4.033
-17.708 9.025 1.864
-17.571 8.945 2.364
-17.546 8.965 2.656
-17.859 9.035 2.948
-17.461 8.975 1.112
-17.731 9.305 4.495
-17.374 9.185 3.374
-17.598 9.122 1.016
-17.931 9.095 1.327
-17.545 8.985 3.277
-17.492 9.105 4.114
-17.620 9.075 3.289
-17.379 9.504 3.290
-17.442 8.905 2.317
-17.668 9.276 3.593
-17.599 8.945 3.494
-17.862 9.225 2.264
-17.562 9.035 3.745
-17.505 9.075 2.573
-17.368 8.835 2.241
-17.391 9.325 4.228
-17.621 9.255 3.903
-17.599 9.115 2.953
-17.353 8.835 1.255
-17.529 9.015 1.378
-17.930 9.788 5.465
-17.429 8.695 0.540
-17.704 9.438 3.386
-17.471 8.879 2.992
-17.523 9.225 5.421
-17.350 8.765 1.275
-17.370 8.865 1.127
-17.830 9.373 2.389
-18.284 9.445 2.862
-17.497 8.985 1.613
-17.526 8.915 2.735
-17.552 8.915 1.105
-17.471 8.925 2.017
-17.585 9.115 2.413
-17.532 8.885 1.963
-17.420 8.905 2.099
-17.476 9.115 1.086
-17.481 9.065 0.800
-17.463 8.945 3.215
-17.572 8.905 1.990
-17.527 9.015 2.468
-17.995 9.255 3.859
-17.696 9.485 5.489
-17.423 8.915 2.476
-17.510 8.855 1.752
-17.478 8.865 1.225
-17.573 9.055 2.717
-17.563 9.255 1.832
-17.596 9.065 2.897
-17.401 9.135 2.346
-17.545 8.895 0.873
-17.385 8.765 1.997
-17.378 9.289 2.477
-17.376 8.925 1.801
-17.859 8.875 3.233
-17.436 9.045 2.840
-17.666 8.815 3.409
-17.578 9.175 2.559
-17.367 9.175 2.220
-17.748 9.325 1.192
-17.516 9.167 1.318
-19.674 10.095 11.342
-18.977 9.315 10.724
-17.670 9.478 5.671
-17.978 9.035 5.377
-17.662 9.015 3.447
-17.358 8.985 1.261
-17.381 9.055 1.261
-17.397 8.925 1.432
-17.374 8.955 2.745
-17.612 9.035 3.643
-18.026 9.565 3.725
-17.419 9.175 2.865
-17.744 9.075 4.906
-17.446 9.205 3.816
-17.338 8.845 0.741
-17.860 9.075 3.941
-18.151 9.075 6.026
-17.582 9.115 2.266
-17.554 8.945 3.956
-18.348 9.075 6.203
-17.800 9.125 3.547
-19.586 9.625 9.055
-17.865 9.015 4.613
-17.444 8.825 3.104
-17.411 9.051 1.489
-17.606 8.965 0.569
-17.610 9.125 0.632
-17.643 9.055 1.331
-18.404 9.345 5.732
-17.543 9.465 4.339
-17.705 9.085 1.728
-17.803 8.995 3.911
-17.470 9.155 2.546
-17.330 8.875 1.061
-17.349 8.775 2.352
-17.944 9.225 4.258
-17.405 8.825 1.832
-17.510 9.045 2.421
-17.570 9.095 1.183
-17.433 9.165 3.660
-17.625 8.835 3.317
-17.479 8.765 2.387
-17.950 9.085 3.624
-17.947 9.095 5.615
-17.762 9.131 2.235
-17.593 8.945 1.341
-17.337 8.795 1.490
-17.380 8.925 3.948
-17.491 9.365 3.502
-17.456 9.155 2.177
-17.581 9.035 2.686
-17.971 9.215 3.914
-17.432 8.985 1.635
-17.345 9.025 1.283
-17.382 8.945 1.752
-17.476 9.341 1.317
-17.470 9.465 1.331
-17.405 8.765 3.055
-17.661 9.355 1.291
-17.568 8.955 1.671
-17.475 8.945 3.682
-17.607 9.055 3.139
-17.618 9.085 2.837
-17.448 9.025 2.988
-17.399 9.347 1.322
-17.724 9.025 2.908
-17.862 9.165 3.194
-17.631 9.085 4.440
-17.710 9.645 4.075
-17.336 8.905 3.020
-17.431 9.655 0.836
-17.426 9.035 0.867
-17.503 9.325 3.281
-17.397 8.865 2.403
-17.357 9.205 3.923
-17.437 9.085 2.186
-17.497 9.065 2.971
-17.701 9.235 2.468
-17.533 9.175 2.848
-17.388 9.055 0.744
-17.505 9.235 1.131
-17.455 8.915 1.708
-17.337 9.005 1.323
-17.488 9.075 0.725
-17.654 9.165 3.385
-17.452 9.115 3.864
-17.409 8.965 1.396
-17.362 8.955 1.873
-17.442 8.915 2.272
-17.466 9.068 2.675
-18.167 9.355 4.580
-17.473 8.995 2.323
-17.458 9.035 1.359
-17.488 9.195 2.839
-17.518 9.075 2.698
-19.550 8.835 8.023
-17.431 9.635 1.611
-18.767 9.465 6.928
-18.941 9.565 4.833
-17.396 9.027 2.405
-17.520 9.035 3.286
-18.001 9.055 4.851
-17.383 8.805 1.654
-17.478 8.985 1.164
-17.412 8.895 2.044
-17.714 8.975 3.903
-17.794 9.135 3.584
-17.415 8.875 3.010
-17.514 8.975 2.428
-17.388 8.875 1.101
-17.545 8.815 1.287
-17.424 9.045 1.542
-17.509 9.165 1.064
-17.413 9.285 2.141
-17.494 9.065 2.198
-17.461 9.125 3.667
-20.259 9.885 9.102
-17.378 9.005 2.126
-17.553 9.265 1.810
-17.365 8.825 1.300
-17.452 8.885 0.647
-17.480 9.015 2.483
-18.189 9.255 4.188
-17.703 8.965 1.835
-17.498 8.985 1.184
-17.819 9.165 4.721
-17.528 9.255 2.977
-17.551 9.235 1.316
-17.585 8.965 2.930
-17.631 9.145 3.203
-17.418 8.895 1.936
-17.363 9.145 1.772
-18.392 9.735 2.270
-17.362 8.805 1.086
-17.449 8.965 2.333
-17.442 9.035 0.774
-17.599 9.205 2.742
-17.513 9.135 2.871
-17.479 9.045 3.349
-17.490 9.045 1.255
-17.505 8.965 1.074
-17.489 9.295 2.640
-17.513 9.035 1.897
-17.742 9.365 3.004
-17.474 9.035 2.312
-17.503 8.905 1.745
-18.041 9.385 3.874
-17.397 8.925 2.545
-17.804 9.165 3.498
-17.434 8.925 1.982
-17.682 9.365 2.658
-17.656 9.235 2.381
